SENSACIONAL VILABARCA RIGS,,,,LINKS,,,RIG,,,CONCEPT,,,,MODEL SHEET,EXTRAS,,
EPS,NOME,PERSONAGEM,ID,LINK RIG,SYNC SKETCH,LINKS CONCEPT,RESPONSÁVEL,STATUS RIG,ENTREGA,RESPONSÁVEL CONCEPT,RESPONSÁVEL VETORIZAÇÃO,STATUS CONCEPT,ENTREGA,MODEL SHEET,COMENTÁRIOS,REVISÕES CONCEPT,REVISÕES RIG
104,FIGURANTES ESCOLA 04,,SVB_PER_FIGESC_04,,,,,,,,,EM PRODUÇÃO,,,,,
104,FIGURANTES ESCOLA 05,,SVB_PER_FIGESC_05,,,,,,,,,EM PRODUÇÃO,,,,,
104,FIGURANTES ESCOLA 06,,SVB_PER_FIGESC_06,,,,,,,,,EM PRODUÇÃO,,,,,
104,FIGURANTES ESCOLA 07,,SVB_PER_FIGESC_07,,,,,,,,,EM PRODUÇÃO,,,,,
104,FIGURANTES ESCOLA 08,,SVB_PER_FIGESC_08,,,,,,,,,EM PRODUÇÃO,,,,,
104,FIGURANTES ESCOLA 09,,SVB_PER_FIGESC_09,,,,,,,,,EM PRODUÇÃO,,,,,
104,Fogo Fátuo,,SVB_RIG_FOGO_FATUO,SVB_RIG_FOGO_FATUO.tpl.zip,,,JACKSON,CONCLUÍDO,,OTONIEL,,CONCLUÍDO,,,,,
104,FOGO FÁTUO,,SVB_RIG_FOGO_FATUO,SVB_RIG_FOGO_FATUO.tpl.zip,,,JACKSON,CONCLUÍDO,,OTONIEL,,CONCLUÍDO,,,"grande bolas gulosas
de fogo azul",,
104,MEL,,SVB_PER_CRIANCAS_ESCOLA,https://drive.google.com/file/d/1iF4-wKkaAjxG0Hn85ovvb80-o2tVbYEO/view?usp=drive_link,,SVB_PER_CRIANCAS_ESCOLA.zip SVB_PER_CRIANCAS_ESCOLA_MEL.png,TONTON,CONCLUÍDO,,BRUNO,,CONCLUÍDO,,,,,
104,MELI,,SVB_RIG_MELI,https://drive.google.com/file/d/1uMNMC0GQDgIe_3ktIWjx0KvmEobMe8fW/view,,SVB_PER_TURN_MELI.jpg SVB_PER_TURN_MELI.psd,GENIS,CONCLUÍDO,30/07/2025,OTONIEL,,CONCLUÍDO,,,,,23/07/2025
